,importance
Aatrox_1,0.02
Aatrox_2,0.0
Aatrox_3,0.02
Alchemist_1,0.0
Annie_1,0.0
Annie_2,0.02
Annie_3,0.0
Ashe_1,0.0
Ashe_2,0.02
Ashe_3,0.0
Avatar_1,0.02
Azir_1,0.02
Azir_2,0.0
Azir_3,0.02
Brand_1,0.0
Brand_2,0.04
Brand_3,0.02
Braum_1,0.0
Braum_2,0.0
Braum_3,0.0
Diana_1,0.0
Diana_2,0.0
Diana_3,0.02
DrMundo_1,0.0
DrMundo_2,0.0
DrMundo_3,0.0
Ezreal_1,0.0
Ezreal_2,0.02
Ezreal_3,0.02
Ivern_1,0.0
Ivern_2,0.0
Ivern_3,0.0
Janna_1,0.0
Janna_2,0.02
Jax_1,0.0
Jax_2,0.0
Jax_3,0.02
Khazix_1,0.0
Khazix_2,0.02
Khazix_3,0.0
Kindred_1,0.02
Kindred_2,0.0
Kindred_3,0.02
KogMaw_1,0.02
KogMaw_2,0.0
KogMaw_3,0.02
Leblanc_1,0.0
Leblanc_2,0.0
Leblanc_3,0.0
Lucian_1,0.0
Lucian_2,0.02
Lucian_3,0.0
Lux_1,0.0
Lux_2,0.02
Malphite_1,0.0
Malphite_2,0.02
Malphite_3,0.0
Malzahar_1,0.0
Malzahar_2,0.0
Malzahar_3,0.0
Maokai_1,0.0
Maokai_2,0.0
Maokai_3,0.0
MasterYi_1,0.02
MasterYi_2,0.02
Nami_1,0.0
Nami_2,0.02
Nasus_1,0.0
Nasus_2,0.0
Nasus_3,0.0
Nautilus_1,0.02
Nautilus_2,0.0
Nautilus_3,0.0
Neeko_1,0.0
Neeko_2,0.0
Neeko_3,0.02
Nocturne_1,0.0
Nocturne_2,0.0
Nocturne_3,0.0
Olaf_1,0.02
Olaf_2,0.02
Olaf_3,0.02
Ornn_1,0.0
Ornn_2,0.0
Ornn_3,0.0
Qiyana_1,0.0
Qiyana_2,0.0
Qiyana_3,0.02
RekSai_1,0.0
RekSai_2,0.0
RekSai_3,0.02
Renekton_1,0.0
Renekton_2,0.0
Renekton_3,0.02
Singed_1,0.0
Singed_2,0.02
Sion_1,0.0
Sion_2,0.02
Sion_3,0.02
Sivir_1,0.0
Sivir_2,0.0
Sivir_3,0.02
Skarner_1,0.02
Skarner_2,0.0
Skarner_3,0.0
Soraka_1,0.0
Soraka_2,0.0
Soraka_3,0.0
Syndra_1,0.0
Syndra_2,0.0
Syndra_3,0.02
Taliyah_1,0.0
Taliyah_2,0.0
Taliyah_3,0.0
Taric_1,0.0
Taric_2,0.02
Thresh_1,0.0
Thresh_2,0.0
Thresh_3,0.0
Twitch_1,0.0
Twitch_2,0.02
Twitch_3,0.0
Varus_1,0.0
Varus_2,0.0
Varus_3,0.0
Vayne_1,0.0
Vayne_2,0.0
Vayne_3,0.0
Veigar_1,0.02
Veigar_2,0.0
Veigar_3,0.02
Vladimir_1,0.0
Vladimir_2,0.0
Vladimir_3,0.02
Volibear_1,0.02
Volibear_2,0.0
Volibear_3,0.02
Warwick_1,0.0
Warwick_2,0.0
Warwick_3,0.0
Yasuo_1,0.0
Yasuo_2,0.0
Yasuo_3,0.0
Yorick_1,0.0
Yorick_2,0.02
Yorick_3,0.0
Zed_1,0.0
Zed_2,0.04
Zyra_1,0.0
Zyra_2,0.0
Zyra_3,0.0
